# Wavelength (nm)	Intensity
239.65813	0.0
239.82906	0.0
240.00000	0.0
240.17094	0.0
240.34187	0.0
240.51282	0.0
240.68376	0.0
240.85471	0.0
241.02563	0.0
241.19658	0.0
241.36752	0.0
241.53847	0.0
241.70940	0.0
241.88034	0.0
242.05128	0.0
242.22223	0.0
242.39316	0.0
242.56410	0.0
242.73505	0.0
242.90598	0.0
243.07692	0.0
243.24786	0.0
243.41881	0.0
243.58974	0.0
243.76068	0.0
243.93163	0.0
244.10257	0.0
244.27350	0.0
244.44444	0.0
244.61539	0.0
244.78633	0.0
244.95726	0.0
245.12820	0.0
245.29915	0.0
245.47009	0.0
245.64102	0.0
245.81197	0.0
245.98291	0.0
246.15384	0.0
246.32478	0.0
246.49573	0.0
246.66667	0.0
246.83760	0.0
247.00854	0.0
247.17949	0.0
247.35043	0.0
247.52136	0.0
247.69231	0.0
247.86325	0.2
248.03419	0.0
248.20512	0.0
248.37607	0.0
248.54701	0.0
248.71794	0.0
248.88889	0.0
249.05983	0.0
249.23077	0.0
249.40170	0.0
249.57265	0.0
249.74359	0.0
249.91454	0.0
250.08546	0.0
250.25641	0.0
250.42735	0.0
250.59830	0.0
250.76923	0.0
250.94017	0.0
251.11111	0.0
251.28206	0.0
251.45299	0.0
251.62393	0.0
251.79488	0.0
251.96581	0.0
252.13675	0.0
252.30769	0.0
252.47864	0.0
252.64957	0.0
252.82051	0.0
252.99146	0.0
253.16240	0.0
253.33333	0.0
253.50427	0.0
253.67522	0.0
253.84616	0.0
254.01709	0.0
254.18803	0.0
254.35898	0.0
254.52991	0.0
254.70085	0.0
254.87180	0.0
255.04274	0.0
255.21367	0.0
255.38461	0.0
255.55556	0.0
255.72650	0.0
255.89743	0.0
256.06839	0.0
256.23932	0.0
256.41025	0.0
256.58121	0.0
256.75214	0.0
256.92307	0.0
257.09402	0.0
257.26495	0.0
257.43588	0.0
257.60684	0.0
257.77777	0.0
257.94873	0.0
258.11966	0.0
258.29059	0.0
258.46155	0.0
258.63248	0.0
258.80341	0.0
258.97437	0.0
259.14529	0.0
259.31625	0.0
259.48718	0.0
259.65811	0.0
259.82907	0.0
260.00000	0.0
260.17093	0.0
260.34189	0.0
260.51282	0.0
260.68375	0.0
260.85471	0.0
261.02563	0.0
261.19659	0.0
261.36752	0.0
261.53845	0.0
261.70941	0.0
261.88034	0.0
262.05127	0.0
262.22223	0.0
262.39316	0.0
262.56412	0.0
262.73505	0.0
262.90598	0.0
263.07693	0.0
263.24786	0.0
263.41879	0.0
263.58975	0.0
263.76068	0.0
263.93161	0.0
264.10257	0.0
264.27350	0.0
264.44446	0.0
264.61539	0.0
264.78632	0.0
264.95728	0.0
265.12820	0.0
265.29913	0.0
265.47009	0.0
265.64102	0.0
265.81195	0.0
265.98291	0.0
266.15384	0.0
266.32480	0.0
266.49573	0.0
266.66666	0.0
266.83762	0.0
267.00854	0.0
267.17947	0.0
267.35043	0.0
267.52136	0.0
267.69232	0.0
267.86325	0.0
268.03418	0.0
268.20514	0.0
268.37607	0.0
268.54700	0.0
268.71796	0.0
268.88889	0.0
269.05981	0.0
269.23077	0.0
269.40170	0.0
269.57266	0.0
269.74359	0.0
269.91452	0.0
270.08548	0.0
270.25641	0.0
270.42734	0.0
270.59830	0.0
270.76923	0.0
270.94019	0.0
271.11111	0.0
271.28204	0.0
271.45300	0.0
271.62393	0.0
271.79486	0.0
271.96582	0.0
272.13675	0.0
272.30768	0.0
272.47864	0.0
272.64957	0.0
272.82053	0.0
272.99146	0.0
273.16238	0.0
273.33334	0.0
273.50427	0.0
273.67520	0.0
273.84616	0.0
274.01709	0.0
274.18805	0.0
274.35898	0.0
274.52991	0.0
274.70087	0.0
274.87180	0.0
275.04272	0.0
275.21368	0.0
275.38461	0.0
275.55554	0.0
275.72650	0.0
275.89743	0.0
276.06839	0.0
276.23932	0.0
276.41025	0.0
276.58121	0.0
276.75214	0.0
276.92307	0.0
277.09402	0.0
277.26495	0.0
277.43588	0.0
277.60684	0.0
277.77777	0.0
277.94873	0.0
278.11966	0.0
278.29059	0.0
278.46155	0.0
278.63248	0.0
278.80341	0.0
278.97437	0.0
279.14529	0.0
279.31625	0.0
279.48718	0.1
279.65811	0.1
279.82907	0.0
280.00000	0.0
280.17093	0.0
280.34189	0.1
280.51282	0.0
280.68375	0.0
280.85471	0.0
281.02563	0.0
281.19659	0.0
281.36752	0.0
281.53845	0.0
281.70941	0.0
281.88034	0.0
282.05127	0.0
282.22223	0.0
282.39316	0.0
282.56412	0.0
282.73505	0.0
282.90598	0.0
283.07693	0.0
283.24786	0.0
283.41879	0.0
283.58975	0.0
283.76068	0.0
283.93161	0.0
284.10257	0.0
284.27350	0.0
284.44446	0.0
284.61539	0.0
284.78632	0.0
284.95728	0.0
285.12820	0.0
285.29913	0.0
285.47009	0.0
285.64102	0.0
285.81195	0.0
285.98291	0.0
286.15384	0.0
286.32480	0.0
286.49573	0.0
286.66666	0.0
286.83762	0.0
287.00854	0.0
287.17947	0.0
287.35043	0.0
287.52136	0.0
287.69232	0.0
287.86325	0.0
288.03418	0.0
288.20514	0.0
288.37607	0.0
288.54700	0.0
288.71796	0.0
288.88889	0.0
289.05981	0.0
289.23077	0.0
289.40170	0.0
289.57266	0.0
289.74359	0.0
289.91452	0.0
290.08548	0.0
290.25641	0.0
290.42734	0.0
290.59830	0.0
290.76923	0.0
290.94019	0.0
291.11111	0.0
291.28204	0.0
291.45300	0.0
291.62393	0.0
291.79486	0.0
291.96582	0.0
292.13675	0.0
292.30768	0.0
292.47864	0.0
292.64957	0.0
292.82053	0.0
292.99146	0.0
293.16238	0.0
293.33334	0.0
293.50427	0.0
293.67520	0.0
293.84616	0.0
294.01709	0.0
294.18805	0.0
294.35898	0.0
294.52991	0.0
294.70087	0.0
294.87180	0.0
295.04272	0.0
295.21368	0.0
295.38461	0.0
295.55554	0.0
295.72650	0.0
295.89743	0.0
296.06839	0.0
296.23932	0.0
296.41025	0.0
296.58121	0.0
296.75214	0.0
296.92307	0.0
297.09402	0.0
297.26495	0.0
297.43588	0.0
297.60684	0.0
297.77777	0.0
297.94873	0.0
298.11966	0.0
298.29059	0.0
298.46155	0.0
298.63248	0.0
298.80341	0.0
298.97437	0.0
299.14529	0.0
299.31625	0.0
299.48718	0.0
299.65811	0.0
299.82907	0.0
300.00000	0.0
300.17093	0.0
300.34189	0.0
300.51282	0.0
300.68375	0.0
300.85471	0.0
301.02563	0.0
301.19659	0.0
301.36752	0.0
301.53845	0.0
301.70941	0.0
301.88034	0.0
302.05127	0.0
302.22223	0.0
302.39316	0.0
302.56412	0.0
302.73505	0.0
302.90598	0.0
303.07693	0.0
303.24786	0.0
303.41879	0.0
303.58975	0.0
303.76068	0.0
303.93161	0.0
304.10257	0.0
304.27350	0.0
304.44446	0.0
304.61539	0.0
304.78632	0.0
304.95728	0.0
305.12820	0.0
305.29913	0.0
305.47009	0.0
305.64102	0.0
305.81195	0.0
305.98291	0.0
306.15384	0.0
306.32480	0.0
306.49573	0.0
306.66666	0.0
306.83762	0.0
307.00854	0.0
307.17947	0.0
307.35043	0.0
307.52136	0.0
307.69232	0.0
307.86325	0.0
308.03418	0.0
308.20514	0.1
308.37607	0.0
308.54700	0.0
308.71796	0.0
308.88889	0.0
309.05981	0.0
309.23077	0.2
309.40170	0.1
309.57266	0.0
309.74359	0.0
309.91452	0.0
310.08548	0.0
310.25641	0.0
310.42734	0.0
310.59830	0.0
310.76923	0.0
310.94019	0.0
311.11111	0.0
311.28204	0.0
311.45300	0.0
311.62393	0.0
311.79486	0.0
311.96582	0.0
312.13675	0.0
312.30768	0.0
312.47864	0.0
312.64957	0.0
312.82053	0.0
312.99146	0.0
313.16238	0.0
313.33334	0.0
313.50427	0.0
313.67520	0.0
313.84616	0.0
314.01709	0.0
314.18805	0.0
314.35898	0.0
314.52991	0.0
314.70087	0.0
314.87180	0.0
315.04272	0.0
315.21368	0.0
315.38461	0.0
315.55554	0.0
315.72650	0.0
315.89743	0.0
316.06839	0.0
316.23932	0.0
316.41025	0.0
316.58121	0.0
316.75214	0.0
316.92307	0.0
317.09402	0.0
317.26495	0.0
317.43588	0.0
317.60684	0.0
317.77777	0.0
317.94873	0.0
318.11966	0.0
318.29059	0.0
318.46155	0.0
318.63248	0.0
318.80341	0.0
318.97437	0.0
319.14529	0.0
319.31625	0.0
319.48718	0.0
319.65811	0.0
319.82907	0.0
320.00000	0.0
320.17093	0.0
320.34189	0.0
320.51282	0.0
320.68375	0.0
320.85471	0.0
321.02563	0.0
321.19659	0.0
321.36752	0.0
321.53845	0.0
321.70941	0.0
321.88034	0.0
322.05127	0.0
322.22223	0.0
322.39316	0.0
322.56412	0.0
322.73505	0.0
322.90598	0.0
323.07693	0.0
323.24786	0.0
323.41879	0.0
323.58975	0.0
323.76068	0.0
323.93161	0.0
324.10257	0.0
324.27350	0.0
324.44446	0.0
324.61539	0.0
324.78632	0.0
324.95728	0.0
325.12820	0.0
325.29913	0.0
325.47009	0.0
325.64102	0.0
325.81195	0.0
325.98291	0.0
326.15384	0.0
326.32480	0.0
326.49573	0.0
326.66666	0.0
326.83762	0.0
327.00854	0.0
327.17947	0.0
327.35043	0.0
327.52136	0.0
327.69232	0.0
327.86325	0.0
328.03418	0.0
328.20514	0.0
328.37607	0.0
328.54700	0.0
328.71796	0.0
328.88889	0.0
329.05981	0.0
329.23077	0.0
329.40170	0.0
329.57266	0.0
329.74359	0.0
329.91452	0.0
330.08548	0.0
330.25641	0.0
330.42734	0.0
330.59830	0.0
330.76923	0.0
330.94019	0.0
331.11111	0.0
331.28204	0.0
331.45300	0.0
331.62393	0.0
331.79486	0.0
331.96582	0.0
332.13675	0.0
332.30768	0.0
332.47864	0.0
332.64957	0.0
332.82053	0.0
332.99146	0.0
333.16238	0.0
333.33334	0.0
333.50427	0.0
333.67520	0.0
333.84616	0.0
334.01709	0.0
334.18805	0.0
334.35898	0.0
334.52991	0.0
334.70087	0.0
334.87180	0.0
335.04272	0.0
335.21368	0.0
335.38461	0.0
335.55554	0.0
335.72650	0.0
335.89743	0.0
336.06839	0.0
336.23932	0.0
336.41025	0.0
336.58121	0.0
336.75214	0.0
336.92307	0.0
337.09402	0.0
337.26495	0.0
337.43588	0.0
337.60684	0.0
337.77777	0.0
337.94873	0.0
338.11966	0.0
338.29059	0.0
338.46155	0.0
338.63248	0.0
338.80341	0.0
338.97437	0.0
339.14529	0.0
339.31625	0.0
339.48718	0.0
339.65811	0.0
339.82907	0.0
340.00000	0.0
340.17093	0.0
340.34189	0.0
340.51282	0.0
340.68375	0.0
340.85471	0.0
341.02563	0.0
341.19659	0.0
341.36752	0.0
341.53845	0.0
341.70941	0.0
341.88034	0.0
342.05127	0.0
342.22223	0.0
342.39316	0.0
342.56412	0.0
342.73505	0.0
342.90598	0.0
343.07693	0.0
343.24786	0.0
343.41879	0.0
343.58975	0.0
343.76068	0.0
343.93161	0.0
344.10257	0.0
344.27350	0.0
344.44446	0.0
344.61539	0.0
344.78632	0.0
344.95728	0.0
345.12820	0.0
345.29913	0.0
345.47009	0.0
345.64102	0.0
345.81195	0.0
345.98291	0.0
346.15384	0.0
346.32480	0.0
346.49573	0.0
346.66666	0.0
346.83762	0.0
347.00854	0.0
347.17947	0.0
347.35043	0.0
347.52136	0.0
347.69232	0.0
347.86325	0.0
348.03418	0.0
348.20514	0.0
348.37607	0.0
348.54700	0.0
348.71796	0.0
348.88889	0.0
349.05981	0.0
349.23077	0.0
349.40170	0.0
349.57266	0.0
349.74359	0.0
349.91452	0.0
350.08548	0.0
350.25641	0.0
350.42734	0.0
350.59830	0.0
350.76923	0.0
350.94019	0.0
351.11111	0.0
351.28204	0.0
351.45300	0.0
351.62393	0.0
351.79486	0.0
351.96582	0.0
352.13675	0.0
352.30768	0.0
352.47864	0.0
352.64957	0.0
352.82053	0.0
352.99146	0.0
353.16238	0.0
353.33334	0.0
353.50427	0.0
353.67520	0.0
353.84616	0.0
354.01709	0.0
354.18805	0.0
354.35898	0.0
354.52991	0.0
354.70087	0.0
354.87180	0.0
355.04272	0.0
355.21368	0.0
355.38461	0.0
355.55554	0.0
355.72650	0.0
355.89743	0.0
356.06839	0.0
356.23932	0.0
356.41025	0.0
356.58121	0.0
356.75214	0.0
356.92307	0.0
357.09402	0.0
357.26495	0.0
357.43588	0.0
357.60684	0.0
357.77777	0.0
357.94873	0.0
358.11966	0.0
358.29059	0.0
358.46155	0.0
358.63248	0.0
358.80341	0.0
358.97437	0.0
359.14529	0.0
359.31625	0.0
359.48718	0.0
359.65811	0.0
359.82907	0.0
360.00000	0.0
360.17093	0.0
360.34189	0.0
360.51282	0.0
360.68375	0.0
360.85471	0.0
361.02563	0.0
361.19659	0.0
361.36752	0.0
361.53845	0.0
361.70941	0.0
361.88034	0.0
362.05127	0.0
362.22223	0.0
362.39316	0.0
362.56412	0.0
362.73505	0.0
362.90598	0.0
363.07693	0.0
363.24786	0.0
363.41879	0.0
363.58975	0.0
363.76068	0.0
363.93161	0.0
364.10257	0.0
364.27350	0.0
